Local ID,County,Municipality,On,From,To,Approach,Direction,AADT Year,AADT,AADT Cars,AADT Trucks,Location
530005,Erie,Cheektowaga,GENESEE ST,HOLTZ RD,RT 78 TRANSIT RD,BETWEEN,2-WAY,1980,24000,,,"(42.937009, -78.709627)"
534439,Erie,Cheektowaga,HOLTZ DR,RT 33 GENESEE ST,AERO DR,,2-WAY,2011,9803,,,"(42.938171, -78.717556)"
536248,Erie,North Collins,NEW OREGON RD,LANGFORD RD,BOSTON RD,,2-WAY,2015,405,,,"(42.595404, -78.793285)"
545115,Niagara,North Tonawanda,Niagara Pkwy,Evans St,Bennett St,,2-WAY,2015,475,,,"(43.0398, -78.86945)"
546054,Niagara,Royalton,GRISWOLD RD,MANN RD,RT 77 LEWISTON RD,,2-WAY,1999,840,,,"(43.127677, -78.49706)"
536185,Erie,Clarence,COUNTY RD,RT 78 TRANSIT RD,STAHLEY RD,,2-WAY,1996,4500,,,"(43.033317, -78.692708)"
530916,Erie,Tonawanda,GRAND ISLAND BLVD,RIVER RD,ACC TO I-190,,2-WAY,2009,1275,,,"(42.994525, -78.931339)"
531011,Erie,WEST SENECA,RESERVE RD,RT 240 ORCHARD PARK RD,RT 277 UNION RD,BETWEEN,,2022,4264,,,"(42.811315, -78.756574)"
534000,Erie,Orchard Park,ABBOTT RD,ORCHARD PARK TOWN LN,RT 20A BIG TREE RD,,2-WAY,2000,5300,,,"(42.762103, -78.792965)"
530948,Erie,Amherst,SWEET HOME RD,MAPLE RD,RENSCH RD,BETWEEN,2-WAY,1991,17600,,,"(42.996389, -78.800401)"
540111,Niagara,Niagara Falls,RAINBOW BRIDGE,USA,CANADA,,2-WAY,1991,13469,13457,12,"(43.090411, -79.068238)"
540421,Niagara,Royalton,S MAIN ST,RT 31 ROCHESTER RD/START OLAP RT 271 MAIN ST,END OLAP RT 271 MAIN ST,,2-WAY,1997,3300,,,"(43.208998, -78.476522)"
535190,Erie,Tonawanda,Neumann Pkwy,Colvin blvd,Belmont Ave,,2-WAY,2014,526,,,"(42.978817, -78.857476)"
534321,Erie,BUFFALO,FERRY ST (WEST),RICHMOND AV,ELMWOOD AV,BETWEEN,,2021,5895,,,"(42.95144, -78.87849)"
534574,Erie,Hamburg,MCKINLEY PKWY,QUINBY DR,SOWLES/BAYVIEW RDS,,2-WAY,2006,11000,,,"(42.745523, -78.812375)"
534717,Erie,Buffalo,PROSPECT ST,MASSACHUSETTS AV,RT 266 NIAGARA ST,,1-WAY,2012,1308,1271,36,"(42.909134, -78.897886)"
544030,Niagara,Lockport,BEATTIE AVE,WILLOW ST,HIGH ST,,2-WAY,2011,4185,2339,1845,"(43.162734, -78.680576)"
537064,Erie,Wales,WARNER HILL RD,NY 16,VERMONT HILL RD,,2-WAY,2013,628,,,"(42.704948, -78.572735)"
530190,Erie,Hamburg,SOUTH PARK AVE,N VILL LN,RT 20 SOUTHWESTERN BLVD,BETWEEN,2-WAY,1998,17200,,,"(42.730795, -78.825558)"
534092,Erie,Boston,BOSTON-COLDEN RD,COLE RD,BOSTON/COLDEN TOWN LN,,2-WAY,2011,1173,1106,66,"(42.634843, -78.707101)"
530271,Erie,Lancaster,TRANSIT RD,I-90 NYS THRUWAY,WEHRLE DR,BETWEEN,2-WAY,2000,40400,,,"(42.953727, -78.696935)"
534825,Erie,Buffalo,SYCAMORE ST,MICHIGAN AV,JEFFERSON AV,BETWEEN,2-WAY,1983,3700,,,"(42.89192, -78.85745)"
534161,Erie,Hamburg,CLARK ST,MCKINLEY PKWY,ABBOTT RD,BETWEEN,2-WAY,1997,8700,,,"(42.73507, -78.804809)"
530925,Erie,Aurora,OLEAN RD,START OLAP RT 16/400 EXPWY,END OLAP RT 16/400 EXPWY,,2-WAY,1985,7550,,,"(42.731213, -78.591256)"
540421,Niagara,Royalton,S MAIN ST,RT 31 ROCHESTER RD/START OLAP RT 271 MAIN ST,END OLAP RT 271 MAIN ST,,2-WAY,2010,3525,,,"(43.208998, -78.476522)"
530110,Erie,Hamburg,S WESTERN BLVD,AMSDELL RD,RT 75 CAMP RD,BETWEEN,2-WAY,1997,21300,,,"(42.744184, -78.864799)"
547050,Niagara,Newfane,FULLER RD,PHILLIPS RD,JOCKEY RD,BETWEEN,2-WAY,2015,143,136,6,"(43.322158, -78.679747)"
530143,Erie,Alden,GENESEE ST,WALDEN AV,GENESEE CO LN,BETWEEN,2-WAY,1985,5350,,,"(42.944094, -78.495937)"
536155,Erie,AMHERST,N FRENCH RD,US 62,EAST ROBINSON RD,BETWEEN,,2022,1531,,,"(43.034415, -78.816143)"
544035,Niagara,Lockport,N CANAL RD,OLD NIAGARA RD,DAY RD,,2-WAY,2014,1133,1060,72,"(43.18931, -78.659022)"
530932,Erie,Cheektowaga,WALDEN AVE,RT 240 HARLEM RD,I-90 NYS THRUWAY,,2-WAY,1998,28800,,,"(42.908066, -78.77429)"
530980,Erie,Buffalo,BROADWAY,WASHINGTON ST,RT 5 ELLICOTT ST,,2-WAY,2003,5900,,,"(42.885804, -78.87277)"
530084,Erie,Cheektowaga,KENSINGTON EXPWY,RT 240 HARLEM RD,I-90,BETWEEN,2-WAY,1980,65000,,,"(42.932987, -78.776307)"
534327,Erie,Buffalo,FILLMORE AVE,RT 354 CLINTON ST,WILLIAM ST,,2-WAY,2013,6687,6033,653,"(42.881971, -78.839227)"
530252,Erie,Buffalo,BAILEY AVE,RT 16 SENECA ST,RT 354 CLINTON ST,BETWEEN,2-WAY,1979,11000,,,"(42.869658, -78.821679)"
533462,Erie,Amherst,I-290@Main St,,,,RAMP,2014,718,,,"(42.959866, -78.768325)"
536414,Erie,Buffalo,OHIO ST,FUHRMANN BLVD,LOUISIANA ST,BETWEEN,2-WAY,1977,11800,,,"(42.860306, -78.867634)"
535059,Erie,Amherst,Ruby La,Glen Oaks Dr,Dead End,BETWEEN,2-WAY,2015,79,,,"(43.046148, -78.699604)"
540129,Niagara,Lockport,SAUNDERS SETTLEMENT RD,RT 93 LOCKPORT BYPASS,LOCKPORT W CITY LN,,2-WAY,1988,17400,,,"(43.163655, -78.724216)"
547015,Niagara,LOCKPORT,WEST ONTARIO ST,NIAGARA ST,PROSPECT ST,BETWEEN,,2022,1017,,,"(43.171197, -78.702195)"
534330,Erie,Buffalo,FILLMORE AVE,SYCAMORE ST,GENESEE ST,,2-WAY,1981,13100,,,"(42.899578, -78.839285)"
534228,Erie,Cheektowaga,DINGENS ST,BUFFALO CITY LN,RT 240 HARLEM RD,BETWEEN,2-WAY,1989,9500,,,"(42.877513, -78.788645)"
530230,Erie,Buffalo,DELAWARE AVE,W FERRY ST,W DELAVAN AV,BETWEEN,2-WAY,1976,20000,,,"(42.918375, -78.868371)"
544052,Niagara,Newfane,DRAKE SETTLEMENT RD,RT 78 LOCKPORT-OLCOTT RD,TRANSIT RD,,2-WAY,2008,800,,,"(43.308531, -78.70654)"
534737,Erie,Clarence,ROLL RD,SHIMERVILLE RD,GOODRICH RD,,2-WAY,2007,3700,,,"(42.999665, -78.646724)"
536167,Erie,Akron,PARKVIEW RD,NY 93,JOHN ST,,2-WAY,2015,1400,1365,34,"(43.016721, -78.495311)"
546076,Niagara,Hartland,PEARSON RD,CARMEN RD,STONE RD,BETWEEN,2-WAY,2006,300,,,"(43.22673, -78.480015)"
531121,Erie,Buffalo,CHIPPEWA ST (WEST),GEORGIA ST,S ELMWOOD AV,,1-WAY,1983,13100,,,"(42.89116, -78.879041)"
534772,Erie,West Seneca,SENECA ST,RT 277 UNION RD,RIDGE RD,,2-WAY,1976,17300,,,"(42.829425, -78.768711)"
530367,Erie,Amherst,LOCKPORT EXPWY,AUDUBON PKWY,N FRENCH RD,BETWEEN,2-WAY,1986,13900,,,"(43.026484, -78.764361)"
534451,Erie,Newstead,HUNTS-AKRON RD,NEWSTEAD TN LN,RT 93 AKRON RD,,2-WAY,1991,2100,,,"(43.031044, -78.546722)"
530397,Erie,Amherst,MILLERSPORT HWY,I-990,RT 78 TRANSIT RD,BETWEEN,2-WAY,2002,18800,,,"(43.065779, -78.714592)"
536121,Erie,Buffalo,MICHIGAN AVE,SCOTT ST,CARROLL ST,,2-WAY,1996,10100,,,"(42.877232, -78.870386)"
